date,open,close,high,low,volume,code
2015-11-09,10.02,10.1,10.2,9.85,239039.0,002237
2015-11-10,10.06,10.49,10.69,9.93,377521.0,002237
2015-11-11,10.37,10.3,10.38,10.16,222978.0,002237
2015-11-12,10.2,10.2,10.51,10.19,224047.0,002237
2015-11-13,10.16,10.02,10.35,9.98,182704.0,002237
2015-11-16,10.31,10.72,10.72,10.1,350859.0,002237
2015-11-17,10.5,10.36,10.63,10.29,339746.0,002237
2015-11-18,10.26,10.2,10.32,10.1,141696.0,002237
2015-11-19,10.3,10.38,10.43,10.22,117578.0,002237
2015-11-20,10.47,10.42,10.54,10.31,175252.0,002237
2015-11-23,10.3,10.14,10.34,10.1,175944.0,002237
2015-11-24,10.08,10.27,10.3,9.98,125960.0,002237
2015-11-25,10.49,10.54,10.64,10.42,296988.0,002237
2015-11-26,10.35,10.42,10.65,10.29,225134.0,002237
2015-11-27,10.32,9.58,10.36,9.41,198428.0,002237
2015-11-30,9.54,9.41,9.63,8.95,157850.0,002237
2015-12-01,9.46,9.68,9.89,9.4,126767.0,002237
2015-12-02,9.62,9.63,9.76,9.32,107067.0,002237
2015-12-10,9.25,9.18,9.43,9.0,186648.0,002237
2015-12-11,9.08,9.24,9.37,8.9,135541.0,002237
2015-12-14,9.14,10.16,10.16,9.07,336716.0,002237
2015-12-15,9.96,10.03,10.14,9.81,258870.0,002237
2015-12-16,9.96,10.14,10.35,9.92,235531.0,002237
2015-12-17,10.3,10.21,10.31,10.02,253386.0,002237
2015-12-18,10.0,10.1,10.18,9.95,164812.0,002237
2015-12-21,10.17,10.25,10.3,10.1,152639.0,002237
2015-12-22,10.35,10.43,10.64,10.28,242025.0,002237
2015-12-23,10.3,10.13,10.38,10.1,149435.0,002237
2015-12-24,10.11,10.44,10.44,10.04,167846.0,002237
2015-12-25,10.44,10.35,10.52,10.23,123532.0,002237
2015-12-28,10.33,10.02,10.36,10.02,142517.0,002237
2015-12-29,9.97,10.16,10.17,9.93,85116.0,002237
2015-12-30,10.17,10.21,10.26,10.01,106069.0,002237
2015-12-31,10.11,9.98,10.15,9.98,83495.0,002237
2016-01-04,9.99,9.19,10.03,9.02,92120.0,002237
2016-01-05,9.07,9.29,9.61,9.01,152767.0,002237
2016-01-06,9.3,10.22,10.22,9.26,343640.0,002237
2016-01-07,10.2,9.42,10.43,9.2,165063.0,002237
2016-01-08,10.06,10.36,10.36,9.8,386229.0,002237
2016-01-11,10.63,11.0,11.4,10.6,990198.0,002237
2016-01-12,10.39,9.91,10.59,9.9,608340.0,002237
2016-01-13,9.55,9.9,10.31,9.45,502433.0,002237
2016-01-14,9.46,9.58,9.82,9.0,458295.0,002237
2016-01-15,9.3,8.63,9.47,8.62,451247.0,002237
2016-01-18,8.4,8.71,8.95,8.31,314738.0,002237
2016-01-19,8.58,8.92,8.98,8.46,236796.0,002237
2016-01-20,8.9,9.17,9.41,8.76,309259.0,002237
2016-01-21,9.25,8.98,9.42,8.94,299816.0,002237
2016-01-22,8.82,8.79,8.94,8.35,231652.0,002237
2016-01-25,8.74,8.82,8.94,8.7,155932.0,002237
2016-01-26,9.0,8.59,9.04,8.05,229205.0,002237
2016-01-27,8.58,8.29,8.68,7.95,216391.0,002237
2016-01-28,8.22,7.5,8.28,7.5,179849.0,002237
2016-01-29,7.45,7.72,7.81,7.41,144085.0,002237
2016-02-01,7.59,7.8,8.02,7.59,123353.0,002237
2016-02-02,7.9,7.92,8.08,7.79,146307.0,002237
2016-02-03,7.84,7.94,8.13,7.75,138657.0,002237
2016-02-04,8.21,8.29,8.54,8.21,187471.0,002237
2016-02-05,8.5,8.68,8.88,8.48,265166.0,002237
2016-02-15,9.55,9.55,9.55,9.55,113063.0,002237
2016-02-16,10.04,10.21,10.51,9.83,852488.0,002237
2016-02-17,9.87,10.08,10.21,9.76,543225.0,002237
2016-02-18,9.99,10.0,10.2,9.81,377973.0,002237
2016-02-19,10.35,9.83,10.44,9.67,460817.0,002237
2016-02-22,9.65,9.87,9.97,9.64,323629.0,002237
2016-02-23,9.73,10.47,10.65,9.69,605077.0,002237
2016-02-24,10.3,10.68,11.28,10.09,735079.0,002237
2016-02-25,10.6,10.09,11.08,10.0,613796.0,002237
2016-02-26,10.19,10.16,10.29,9.6,320197.0,002237
2016-02-29,9.86,9.79,10.18,9.22,338666.0,002237
2016-03-01,10.0,10.44,10.65,9.91,507282.0,002237
2016-03-02,10.1,10.82,10.93,10.03,552938.0,002237
2016-03-03,10.85,11.54,11.55,10.6,732925.0,002237
2016-03-04,11.88,11.4,12.55,11.21,918252.0,002237
