date,open,close,high,low,volume,code
2014-01-02,6.823,6.957,7.067,6.818,57696.0,002237
2014-01-03,6.982,6.883,7.022,6.799,36022.0,002237
2014-01-06,6.803,6.813,6.947,6.769,32815.0,002237
2014-01-07,6.794,6.933,6.933,6.729,36851.0,002237
2014-01-08,6.868,6.774,6.918,6.754,34291.0,002237
2014-01-09,6.774,6.679,6.828,6.654,24933.0,002237
2014-01-10,6.679,6.764,6.868,6.679,27480.0,002237
2014-01-13,6.863,6.893,6.997,6.863,41558.0,002237
2014-01-14,6.908,6.943,6.987,6.868,33751.0,002237
2014-01-15,6.898,6.838,6.903,6.784,31532.0,002237
2014-01-16,6.813,6.943,6.977,6.759,48179.0,002237
2014-01-17,6.878,6.883,6.913,6.803,33926.0,002237
2014-01-20,6.913,7.017,7.032,6.898,59993.0,002237
2014-01-21,7.022,7.017,7.037,6.947,45674.0,002237
2014-01-22,6.977,7.101,7.126,6.952,63802.0,002237
2014-01-23,7.047,7.037,7.126,7.022,49044.0,002237
2014-01-24,7.141,7.161,7.34,7.072,95742.0,002237
2014-01-27,7.171,7.29,7.37,7.111,95823.0,002237
2014-01-28,7.131,7.201,7.275,7.002,79615.0,002237
2014-01-29,7.057,7.096,7.151,7.022,38222.0,002237
2014-01-30,7.136,7.067,7.176,6.982,40835.0,002237
2014-02-07,6.957,7.126,7.136,6.863,48117.0,002237
2014-02-10,7.126,7.335,7.335,7.091,89158.0,002237
2014-02-11,7.3,7.509,7.573,7.255,126279.0,002237
2014-02-12,7.489,7.489,7.529,7.389,104521.0,002237
2014-02-13,7.499,7.548,7.846,7.479,120329.0,002237
2014-02-14,7.727,7.598,7.797,7.558,68609.0,002237
2014-02-17,7.856,7.687,7.946,7.623,92907.0,002237
2014-02-18,7.692,7.434,7.692,7.404,91020.0,002237
2014-02-19,7.404,7.479,7.583,7.399,67874.0,002237
2014-02-20,7.429,7.305,7.469,7.29,55653.0,002237
2014-02-21,7.31,7.211,7.389,7.151,56279.0,002237
2014-02-24,7.221,7.236,7.25,7.106,39317.0,002237
2014-02-25,7.35,7.052,7.414,7.032,65008.0,002237
2014-02-26,7.067,7.593,7.687,7.067,137561.0,002237
2014-02-27,7.389,7.25,7.444,7.201,92849.0,002237
2014-02-28,7.25,7.424,7.538,7.201,88991.0,002237
2014-03-03,7.593,7.648,7.697,7.424,108316.0,002237
2014-03-04,7.747,7.499,7.886,7.444,165513.0,002237
2014-03-05,7.3,7.245,7.33,7.161,84247.0,002237
2014-03-06,7.245,7.245,7.29,7.201,41511.0,002237
2014-03-07,7.32,7.25,7.37,7.211,43860.0,002237
2014-03-10,7.091,6.883,7.096,6.853,65125.0,002237
2014-03-11,6.883,6.903,6.938,6.803,30793.0,002237
2014-03-12,6.938,7.057,7.077,6.903,44754.0,002237
2014-03-13,7.176,7.057,7.221,7.042,43152.0,002237
2014-03-14,7.126,7.022,7.166,6.962,29164.0,002237
2014-03-17,7.126,7.146,7.166,7.042,31373.0,002237
2014-03-18,7.052,6.997,7.052,6.972,41656.0,002237
2014-03-19,6.947,6.918,6.947,6.873,23493.0,002237
2014-03-20,6.823,6.699,6.858,6.699,40139.0,002237
2014-03-21,6.724,6.843,6.868,6.65,22631.0,002237
2014-03-24,6.813,6.828,6.843,6.769,25038.0,002237
2014-03-25,6.784,6.848,6.928,6.734,27905.0,002237
2014-03-26,6.843,6.843,6.893,6.764,20799.0,002237
2014-03-27,6.774,6.739,6.823,6.704,20244.0,002237
2014-03-28,6.749,6.709,6.784,6.679,23395.0,002237
2014-03-31,6.704,6.729,6.789,6.694,15656.0,002237
2014-04-01,6.684,6.729,6.744,6.635,21676.0,002237
2014-04-02,6.729,6.759,6.759,6.674,20206.0,002237
2014-04-03,6.764,6.808,6.838,6.754,25250.0,002237
2014-04-04,6.769,6.789,6.808,6.679,20451.0,002237
2014-04-08,6.719,6.898,6.898,6.719,35951.0,002237
2014-04-09,6.903,6.903,6.933,6.858,27419.0,002237
2014-04-10,6.903,6.918,6.933,6.858,27048.0,002237
2014-04-11,6.923,6.933,6.977,6.903,26843.0,002237
2014-04-14,6.943,6.952,7.007,6.903,24304.0,002237
2014-04-15,6.938,6.808,6.943,6.803,31873.0,002237
2014-04-16,6.779,6.744,6.779,6.704,21660.0,002237
2014-04-17,6.764,6.729,6.779,6.724,12506.0,002237
2014-04-18,6.729,6.754,6.764,6.699,10313.0,002237
2014-04-21,6.749,6.56,6.754,6.55,27393.0,002237
2014-04-22,6.565,6.625,6.625,6.555,17843.0,002237
2014-04-23,6.625,6.605,6.64,6.59,10809.0,002237
2014-04-24,6.6,6.63,6.679,6.595,14640.0,002237
2014-04-25,6.605,6.535,6.664,6.535,19450.0,002237
2014-04-28,6.57,6.62,6.63,6.506,29041.0,002237
2014-04-29,6.515,6.312,6.545,6.163,56271.0,002237
2014-04-30,6.302,6.282,6.302,6.178,20712.0,002237
2014-05-05,6.302,6.361,6.386,6.302,20597.0,002237
2014-05-06,6.361,6.337,6.376,6.302,16634.0,002237
2014-05-07,6.307,6.257,6.332,6.203,18038.0,002237
2014-05-08,6.183,6.257,6.282,6.138,21083.0,002237
2014-05-09,6.252,6.282,6.366,6.208,20124.0,002237
2014-05-12,6.307,6.625,6.724,6.247,76408.0,002237
2014-05-13,6.625,6.525,6.625,6.476,28823.0,002237
2014-05-14,6.461,6.471,6.54,6.441,15617.0,002237
2014-05-15,6.501,6.386,6.64,6.366,29990.0,002237
2014-05-16,6.332,6.436,6.446,6.257,16953.0,002237
2014-05-19,6.361,6.401,6.421,6.292,11437.0,002237
2014-05-20,6.416,6.396,6.53,6.371,16407.0,002237
2014-05-21,6.396,6.441,6.491,6.381,11706.0,002237
2014-05-22,6.421,6.396,6.481,6.396,10834.0,002237
2014-05-23,6.371,6.406,6.441,6.371,9735.0,002237
2014-05-26,6.421,6.401,6.456,6.386,15074.0,002237
2014-05-27,6.401,6.317,6.431,6.297,18615.0,002237
2014-05-28,6.267,6.297,6.302,6.208,25361.0,002237
2014-05-29,6.282,6.252,6.297,6.232,13719.0,002237
2014-05-30,6.242,6.257,6.287,6.217,13488.0,002237
2014-06-03,6.247,6.247,6.277,6.198,13945.0,002237
2014-06-04,6.217,6.198,6.252,6.188,13010.0,002237
2014-06-05,6.213,6.262,6.287,6.178,14056.0,002237
2014-06-06,6.287,6.282,6.347,6.262,16786.0,002237
2014-06-09,6.272,6.217,6.272,6.203,12957.0,002237
2014-06-10,6.217,6.277,6.282,6.188,19016.0,002237
2014-06-11,6.282,6.247,6.302,6.242,18400.0,002237
2014-06-12,6.252,6.252,6.302,6.237,19047.0,002237
